id,store_id,display_name,store,latitude,longitude,address,city,state,zip,icon
76669,225,"Sulphur Supercenter",walmart,34.5038374,-97.0041868,"2705 W Broadway Ave",Sulphur,OK,73086,walmart-icon.png
76671,221,"Yukon Supercenter",walmart,35.490376,-97.763836,"1200 Garth Brooks Blvd",Yukon,OK,73099,walmart-icon.png
76854,113,"Chickasha Supercenter",walmart,35.031027,-97.931081,"2001 S 1st St",Chickasha,OK,73018,walmart-icon.png
76855,227,"El Reno Supercenter",walmart,35.511165,-97.976009,"2400 S Country Club Rd","El Reno",OK,73036,walmart-icon.png
76904,129,"Ardmore Supercenter",walmart,34.193239,-97.145321,"1715 N Commerce St",Ardmore,OK,73401,walmart-icon.png
76905,1116,"Duncan Supercenter",walmart,34.527588,-97.970283,"3393 N Hwy 81",Duncan,OK,73533,walmart-icon.png
76908,1295,"Madill Supercenter",walmart,34.069993,-96.76555,"1100 S 1st St",Madill,OK,73446,walmart-icon.png
88492,1684,"Everett Store",walmart,40.02317,-78.44708,"72 Bedford Sq",Everett,PA,15537,walmart-icon.png
88516,2049,"Altoona Supercenter",walmart,40.455457,-78.405524,"2600 Plank Road Commons",Altoona,PA,16601,walmart-icon.png
88546,5470,"Huntingdon Supercenter",walmart,40.490717,-78.044292,"6716 Towne Center Blvd",Huntingdon,PA,16652,walmart-icon.png
88547,2696,"Moorefield Supercenter",walmart,39.084767,-78.958862,"11 Harness Rd",Moorefield,WV,26836,walmart-icon.png
88550,1703,"Martinsburg Supercenter",walmart,39.451745,-77.986101,"800 Foxcroft Ave",Martinsburg,WV,25401,walmart-icon.png
88552,4423,"Martinsburg Supercenter",walmart,39.542837,-77.910249,"5680 Hammonds Mill Rd",Martinsburg,WV,25404,walmart-icon.png
88555,3344,"Winchester Supercenter",walmart,39.193917,-78.205538,"501 Wal Mart Dr",Winchester,VA,22603,walmart-icon.png
88556,1674,"Hagerstown Supercenter",walmart,39.658092,-77.74905,"17850 Garland Groh Blvd",Hagerstown,MD,21740,walmart-icon.png
88559,1406,"Winchester Supercenter",walmart,39.1558595,-78.1724345,"2350 S Pleasant Valley Rd",Winchester,VA,22601,walmart-icon.png
88560,2790,"Hagerstown Supercenter",walmart,39.600832,-77.731627,"10420 Walmart Drive",Hagerstown,MD,21740,walmart-icon.png
88689,109,"Cameron Supercenter",walmart,39.758116,-94.231503,"2000 N Walnut St",Cameron,MO,64429,walmart-icon.png
88709,135,"Chillicothe Supercenter",walmart,39.7765306,-93.55634,"1000 Graves St",Chillicothe,MO,64601,walmart-icon.png
88740,2129,"Clearfield Supercenter",walmart,41.0320768,-78.4008523,"100 Supercenter Dr",Clearfield,PA,16830,walmart-icon.png
88743,363,"Marshall Supercenter",walmart,39.111569,-93.216447,"855 Cherokee Dr",Marshall,MO,65340,walmart-icon.png
88745,560,"Saint Joseph Supercenter",walmart,39.808617,-94.811755,"4201 N Belt Hwy","Saint Joseph",MO,64506,walmart-icon.png
88755,203,"Brookfield Supercenter",walmart,39.767807,-93.072718,"937 Park Circle Dr",Brookfield,MO,64628,walmart-icon.png
88756,834,"Bethany Supercenter",walmart,40.262181,-94.017129,"810 S 37th St",Bethany,MO,64424,walmart-icon.png
88757,219,"Sedalia Supercenter",walmart,38.706715,-93.270907,"3201 W Broadway Blvd",Sedalia,MO,65301,walmart-icon.png
88760,20,"Clinton Supercenter",walmart,38.362772,-93.750585,"1712 E Ohio St",Clinton,MO,64735,walmart-icon.png
88778,1640,"State College Supercenter",walmart,40.810122,-77.89739,"1665 N Atherton St","State College",PA,16803,walmart-icon.png
88780,1850,"Chambersburg Supercenter",walmart,39.920766,-77.60692,"1730 Lincoln Way E.",Chambersburg,PA,17202,walmart-icon.png
88781,1607,"Lewistown Supercenter",walmart,40.581333,-77.611455,"10180 Us Highway 522 S",Lewistown,PA,17044,walmart-icon.png
88785,2230,"State College Supercenter",walmart,40.832622,-77.808207,"373 Benner Pike","State College",PA,16801,walmart-icon.png
88786,5358,"Shippensburg Supercenter",walmart,40.062321,-77.497937,"100 S Conestoga Dr",Shippensburg,PA,17257,walmart-icon.png
88796,3633,"Waynesboro Supercenter",walmart,39.7427258,-77.5282037,"12751 Washington Township Blvd",Waynesboro,PA,17268,walmart-icon.png
88804,2574,"Carlisle Supercenter",walmart,40.189328,-77.194327,"60 Noble Blvd",Carlisle,PA,17013,walmart-icon.png
88810,1537,"Gettysburg Store",walmart,39.843289,-77.204574,"1270 York Rd",Gettysburg,PA,17325,walmart-icon.png
88851,2647,"Woodstock Supercenter",walmart,38.868883,-78.531125,"461 W Reservoir Rd",Woodstock,VA,22664,walmart-icon.png
89021,1886,"Mechanicsburg Supercenter",walmart,40.248405,-77.023292,"6520 Carlisle Pike Ste 550",Mechanicsburg,PA,17050,walmart-icon.png
89023,1823,"Hanover Supercenter",walmart,39.823698,-76.975137,"495 Eisenhower Dr",Hanover,PA,17331,walmart-icon.png
89031,5469,"Hanover Supercenter",walmart,39.760843,-76.962003,"1881 Baltimore Pike",Hanover,PA,17331,walmart-icon.png
89041,5888,"Camp Hill Supercenter",walmart,40.224885,-76.928412,"3400 Hartzdale Drive","Camp Hill",PA,17011,walmart-icon.png
89043,1867,"Westminster Store",walmart,39.585473,-76.984056,"280 Woodward Rd",Westminster,MD,21157,walmart-icon.png
89057,2850,"Hampstead Supercenter",walmart,39.636036,-76.869339,"2320 No. Hanover Pike",Hampstead,MD,21074,walmart-icon.png
